"Item","Cond","ProductionPercentage","AssociationRating","InferenceRating","CoherenceRating","ContextSentence","ContextEvent","TargetSentence","Target","Continuation","InferenceType","InferenceQuestion","NegationType","TargetVerb","ProductionQuestion","ProductionList","ProductionResponsesAll","ProductionFreqList"
1,"A",0.53,6.7,6.7,6.5,"Gestern wurde ein Demonstrant im Zentrum","erschossen.","Die Presse berichtet, dass die","Pistole","heute am Flussufer gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass der Demonstrant erschossen wurde?","kein+jemals","berichten","Jemand wurde erschossen.",1,"Verbrechen, Polizei, Mord - Pistole, Überfall, Raub - Pistole, Waffe, Gewalt - Messer, Pistole, Tod - Wunde, Blut, Tod - Pistole, Blut, Strasse - Waffe, Gewalt, Tod - Blut, Mord, Trauer, Waffe - Tod, Hinrichtung, Mord - Pistole, Polizei, Kriminalität - Pistole, Grenze, Scharfschütze, Soldat, Gewalt - Pistole, Wald, Blut - Tod, Mord, Verbrechen - Tötung, Schmerzhaft, Tatort - Pistole, Blut, Polizei","Pistole 8 Blut 5 Tod 5 Mord 4 Gewalt 3 Polizei 3 Waffe 3 Verbrechen 2 Grenze 1 Hinrichtung 1 Kriminalität 1 Messer 1 Raub 1 Scharfschütze 1 Schmerzhaft 1 Soldat 1 Strasse 1 Tatort 1 Tötung 1 Trauer 1 Überfall 1 Wald 1 Wunde 1"
1,"B",0,6.2,6.8,6.5,"Gestern wurde ein Demonstrant im Zentrum","getötet.","Die Presse berichtet, dass die","Pistole","heute am Flussufer gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass der Demonstrant erschossen wurde?","kein+jemals","berichten","Jemand wurde getötet.",2,"Mord, Krimi, Messer - Leiche, Blut, Mörder - Mord, Leiche, Opfer - Trauer, Schmerz, Mord - Mord, Hinrichtung, Gewalt - Mord, Blut, Leben - Tod, Waffe, Mord - Mord, Polizei, Blut - Messer, Knarre, Stein - Tod, Trauer, Unfall - Polizei, Verbrechen, Anzeige - Mord, Totschlag, Unfall - Täter, Polizei, Verurteilung - Mord, Messer, Ehrenmord - Mord, Blut, Messer, Stichwunde","Mord 10 Blut 4 Messer 4 Polizei 3 Leiche 2 Tod 2 Trauer 2 Unfall 2 Anzeige 1 Ehrenmord 1 Gewalt 1 Hinrichtung 1 Knarre 1 Krimi 1 Leben 1 Mörder 1 Opfer 1 Schmerz 1 Stein 1 Stichwunde 1 Täter 1 Totschlag 1 Verbrechen 1 Verurteilung 1 Waffe 1"
1,"C",NA,6.7,3.4,1.2,"Kein Demonstrant wurde jemals im Zentrum","erschossen.","Die Presse berichtet, dass die","Pistole","heute am Flussufer gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Demonstrant erschossen wurde?","kein+jemals","berichten",NA,NA,NA,NA
1,"D",NA,6.2,3.1,1.4,"Kein Demonstrant wurde jemals im Zentrum","getötet.","Die Presse berichtet, dass die","Pistole","heute am Flussufer gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Demonstrant erschossen wurde?","kein+jemals","berichten",NA,NA,NA,NA
2,"A",1,7,6.4,6.7,"Letzten Monat wurde ein Bettler in der Stadt","erstochen.","Die Lokalzeitung schrieb, dass das","Messer","wahrscheinlich aus einem Spezialgeschäft stammte.","instrument","Für wie wahrscheinlich halten Sie es, dass der Bettler erstochen wurde?","kein+jemals","schreiben","Jemand wurde erstochen.",2,"Messer, Blut, Körper - Mord, Messer, Trauer, Angst, Schmerz - Messer, Wunde, Blut - Mord, Messer, Täter - Messer, Blut, Mord - Messer, Blut, Tod - Messer, Schmerz, Gewalt - Blut, Messer, Polizei - Messer, Machete, Kampf - Dolch, Messer, Tod - Messer, Ermittlung, Polizei - Messer, Schwert, Blut - Mord, Ehrenmord, Messer, Täter - Messer, Stichwunde, Blut - Messer, Mord, Blut","Messer 15 Blut 8 Mord 5 Polizei 2 Schmerz 2 Täter 2 Tod 2 Angst 1 Dolch 1 Ehrenmord 1 Ermittlung 1 Gewalt 1 Kampf 1 Körper 1 Machete 1 Schwert 1 Stichwunde 1 Trauer 1 Wunde 1"
2,"B",0,4.6,5.8,3.1,"Letzten Monat wurde ein Bettler in der Stadt","beseitigt.","Die Lokalzeitung schrieb, dass das","Messer","wahrscheinlich aus einem Spezialgeschäft stammte.","instrument","Für wie wahrscheinlich halten Sie es, dass der Bettler erstochen wurde?","kein+jemals","schreiben","Jemand wurde beseitigt.",1,"Killer, Tod, Gefahr - Schub, Kies, Tatort - Müllsack, Mafia, Kofferraum - Tod, Krimi, Nacht - Mord, Gewalt, Mafia - Gift, Spion, Agent - Handschuhe, Schaufel, Anzüge - Mörder, Thriller, Auftragsmord, Konkurrenz - Mafia, Gewalt, Pistole, Auftragskiller, Drahtzieher - Grab, Pistole, Regen - Mord, Mafia, Waffe - Tötung, Mord, Auftragskiller - Tod, Mord, Intrige - Mafia, Mord, Leiche - Mord, Geheimdienst, Mafia","Mafia 6 Mord 6 Tod 3 Auftragskiller 2 Gewalt 2 Pistole 2 Agent 1 Anzüge 1 Auftragsmord 1 Drahtzieher 1 Gefahr 1 Geheimdienst 1 Gift 1 Grab 1 Handschuhe 1 Intrige 1 Kies 1 Killer 1 Kofferraum 1 Konkurrenz 1 Krimi 1 Leiche 1 Mörder 1 Müllsack 1 Nacht 1 Regen 1 Schaufel 1 Schub 1 Spion 1 Tatort 1 Thriller 1 Tötung 1 Waffe 1"
2,"C",NA,7,2.8,1.9,"Kein Bettler wurde jemals in der Stadt","erstochen.","Die Lokalzeitung schrieb, dass das","Messer","wahrscheinlich aus einem Spezialgeschäft stammte.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Bettler erstochen wurde?","kein+jemals","schreiben",NA,NA,NA,NA
2,"D",NA,4.6,3.8,1,"Kein Bettler wurde jemals in der Stadt","beseitigt.","Die Lokalzeitung schrieb, dass das","Messer","wahrscheinlich aus einem Spezialgeschäft stammte.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Bettler erstochen wurde?","kein+jemals","schreiben",NA,NA,NA,NA
3,"A",0.6,6.8,6.8,6.6,"Letztes Jahr hat der Agent jemanden","vergiftet.","Die Staatsanwaltschaft bestätigt, dass das","Gift","sehr hoch dosiert war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Agent jemanden vergiftet hat?","nie","bestätigen","Jemand hat jemanden vergiftet.",1,"Gift, Rache, Tod - Gift, Spritze, Drogen - Arsen, Essen, Mord - Gift, Mord, Täter - Gift, Mord, Motiv - Gift, Tod, Trinken - Arsen, Nervengift, Atemnot, Getränk, Ampulle - Getränk, Becher, Nadel - Absicht, Mord, Euthanasie - Krimi, Gift, Getränk, Roman, Russland, - Verbrechen, Tod, Unheil - Glas, Pulver, Übelkeit - Gift, Täter, Verbrechen - Mord, Mittelalter, Getränk - Gift, Tod, Schaum, Chemie","Gift 8 Mord 5 Getränk 4 Tod 4 Arsen 2 Täter 2 Verbrechen 2 Absicht 1 Ampulle 1 Atemnot 1 Becher 1 Chemie 1 Drogen 1 Essen 1 Euthanasie 1 Glas 1 Krimi 1 Mittelalter 1 Motiv 1 Nadel 1 Nervengift 1 Pulver 1 Rache 1 Roman 1 Russland 1 Schaum 1 Spritze 1 Trinken 1 Übelkeit 1 Unheil 1"
3,"B",0,6.2,6.4,6.6,"Letztes Jahr hat der Agent jemanden","ermordet.","Die Staatsanwaltschaft bestätigt, dass das","Gift","sehr hoch dosiert war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Agent jemanden vergiftet hat?","nie","bestätigen","Jemand hat jemanden ermordet.",2,"Hass, Tod, Verbrechen - Mord, Strafe, Messer - Mord, Waffe, Tatort - Messer, Tod, Wut - Rache, Gewalt, Mord - Kaltblütig, Messer, Pistole - Strafe, Leid, Trauer - Totschlag, Tatwaffe, Motif - Knarre, Messer, Stock - Mörder, Waffe, Haft - Mörder, Opfer, Pistole, Messer, Strang - Mord, Messer, Heimtücke - Messer, Stichwunde, Blut, Wut, Pistole, Schusswunde - Mörder, Polizei, Tatort - Messer, Film, Gewehr","Messer 8 Mord 4 Mörder 3 Pistole 3 Strafe 2 Tatort 2 Tod 2 Waffe 2 Wut 2 Blut 1 Film 1 Gewalt 1 Gewehr 1 Haft 1 Hass 1 Heimtücke 1 Kaltblütig 1 Knarre 1 Leid 1 Motif 1 Opfer 1 Polizei 1 Rache 1 Schusswunde 1 Stichwunde 1 Stock 1 Strang 1 Tatwaffe 1 Totschlag 1 Trauer 1 Verbrechen 1"
3,"C",NA,6.8,2.8,1.7,"Der Agent hat nie jemanden","vergiftet.","Die Staatsanwaltschaft bestätigt, dass das","Gift","sehr hoch dosiert war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Agent jemanden vergiftet hat?","nie","bestätigen",NA,NA,NA,NA
3,"D",NA,6.2,3.3,1.6,"Der Agent hat nie jemanden","ermordet.","Die Staatsanwaltschaft bestätigt, dass das","Gift","sehr hoch dosiert war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Agent jemanden vergiftet hat?","nie","bestätigen",NA,NA,NA,NA
4,"A",0.33,6.9,6.7,6.3,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt","erhängt.","Die Wärterin wusste, dass der","Strick","von außen hineingeschleust worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Insassin erhängt hat?","kein+jemals","wissen","Jemand hat sich erhängt.",2,"Galgen, Suizid, Selbstmord, Strick - Selbstmord, Unglücklich, Schmerz - Strick, Stuhl, Balken - Schmerz, Trauer, Selbstmord - Strick, Seil, Stuhl - Selbstmord, Depression, Hilfe - Selbstmord, Leiche, Polizei - Seil, Stuhl, Tod - Strick, Stuhl, Hals - Tod, Leid, Selbstmord, Gefängnis - Strick, Seil, Selbstmord, Depression - Leid, Depressionen, Beerdigung - Selbstmord, Tragödie, Schuld, Trauer - Suizid, Depression, Trauer - Tod, Krieg, Zwang","Selbstmord 8 Strick 5 Stuhl 4 Depression 3 Seil 3 Tod 3 Trauer 3 Leid 2 Schmerz 2 Suizid 2 Balken 1 Beerdigung 1 Depressionen 1 Galgen 1 Gefängnis 1 Hals 1 Hilfe 1 Krieg 1 Leiche 1 Polizei 1 Schuld 1 Tragödie 1 Unglücklich 1 Zwang 1"
4,"B",0.13,6,6.5,6.9,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt","umgebracht.","Die Wärterin wusste, dass der","Strick","von außen hineingeschleust worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Insassin erhängt hat?","kein+jemals","wissen","Jemand hat sich umgebracht.",1,"Verlust, Verzweiflung, Ausweg - Suizid, Strick, Pillen - Tod, Gewalt, Suizid - Tod, Messer, Schlinge - Suizid, Schlafmittel, Depression - Seil, Trauer, Tod - Suizid, Seil, Gewalt - Selbstmord, Tablette, Blut, Testament, Familie - Strick, Messer, Zunge - Suizid, Galgen, Abschiedsbrief - Selbstmord, Brücke, Verzweiflung - Tod, Krankenwagen, Polizei - Depressionen, Einsamkeit, Schulden, Trauer, Hilfe - Depressionen, Familie, Weltschmerz - Selbstmord, Trauer, Depression,","Suizid 5 Tod 4 Selbstmord 3 Trauer 3 Depression 2 Depressionen 2 Familie 2 Gewalt 2 Messer 2 Seil 2 Strick 2 Verzweiflung 2 Abschiedsbrief 1 Ausweg 1 Blut 1 Brücke 1 Einsamkeit 1 Galgen 1 Hilfe 1 Krankenwagen 1 Pillen 1 Polizei 1 Schlafmittel 1 Schlinge 1 Schulden 1 Tablette 1 Testament 1 Verlust 1 Weltschmerz 1 Zunge 1"
4,"C",NA,6.9,2.9,1.5,"Keine Insassin der Strafvollzugsanstalt hat sich jemals","erhängt.","Die Wärterin wusste, dass der","Strick","von außen hineingeschleust worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass sich eine Insassin erhängt hat?","kein+jemals","wissen",NA,NA,NA,NA
4,"D",NA,6,4.5,2.8,"Keine Insassin der Strafvollzugsanstalt hat sich jemals","umgebracht.","Die Wärterin wusste, dass der","Strick","von außen hineingeschleust worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass sich eine Insassin erhängt hat?","kein+jemals","wissen",NA,NA,NA,NA
