"Subject","IPhash","Question","Answer"
1,"9b434fe669b8846170c1478158ef8d48","Native_language","Deutsch"
1,"9b434fe669b8846170c1478158ef8d48","L1","Englisch"
1,"9b434fe669b8846170c1478158ef8d48","L1_age","9"
1,"9b434fe669b8846170c1478158ef8d48","L2","Französisch"
1,"9b434fe669b8846170c1478158ef8d48","L2_age","13"
1,"9b434fe669b8846170c1478158ef8d48","L3",""
1,"9b434fe669b8846170c1478158ef8d48","L3_age",""
1,"9b434fe669b8846170c1478158ef8d48","Age","30"
1,"9b434fe669b8846170c1478158ef8d48","L1_level","advanced"
1,"9b434fe669b8846170c1478158ef8d48","L2_level","elementary"
1,"9b434fe669b8846170c1478158ef8d48","gender","female"
1,"9b434fe669b8846170c1478158ef8d48","handedness","righthanded"
1,"9b434fe669b8846170c1478158ef8d48","Strategy","Nein, ich habe lediglich versucht, auf Worte wie nicht oder kein zu achten, um nichts wesentliches zu übersehen."
1,"9b434fe669b8846170c1478158ef8d48","Guesses","Evtl. wie die Satzstellung oder Verneinungen das Verständnis beeinflussen. Ist aber eher geraten :)"
1,"9b434fe669b8846170c1478158ef8d48","Experiment_length","medium"
1,"9b434fe669b8846170c1478158ef8d48","Task_difficulty","medium"
1,"9b434fe669b8846170c1478158ef8d48","Problems",""
1,"9b434fe669b8846170c1478158ef8d48","Remarks",""
1,"9b434fe669b8846170c1478158ef8d48","KeepData","yes"
2,"5d19ef25707fac72b5fcd09b5336e602","Native_language","Deutsch"
2,"5d19ef25707fac72b5fcd09b5336e602","L1","Englisch"
2,"5d19ef25707fac72b5fcd09b5336e602","L1_age","8"
2,"5d19ef25707fac72b5fcd09b5336e602","L2","Französisch"
2,"5d19ef25707fac72b5fcd09b5336e602","L2_age","14"
2,"5d19ef25707fac72b5fcd09b5336e602","L3","Spanisch"
2,"5d19ef25707fac72b5fcd09b5336e602","L3_age","25"
2,"5d19ef25707fac72b5fcd09b5336e602","Age","25"
2,"5d19ef25707fac72b5fcd09b5336e602","L1_level","advanced"
2,"5d19ef25707fac72b5fcd09b5336e602","L2_level","intermediate"
2,"5d19ef25707fac72b5fcd09b5336e602","L3_level","elementary"
2,"5d19ef25707fac72b5fcd09b5336e602","gender","male"
2,"5d19ef25707fac72b5fcd09b5336e602","handedness","righthanded"
2,"5d19ef25707fac72b5fcd09b5336e602","Strategy",""
2,"5d19ef25707fac72b5fcd09b5336e602","Guesses",""
2,"5d19ef25707fac72b5fcd09b5336e602","Experiment_length","medium"
2,"5d19ef25707fac72b5fcd09b5336e602","Task_difficulty","medium"
2,"5d19ef25707fac72b5fcd09b5336e602","Problems",""
2,"5d19ef25707fac72b5fcd09b5336e602","Remarks",""
2,"5d19ef25707fac72b5fcd09b5336e602","KeepData","yes"
3,"8b51f023fe784ad902b355f92b78208e","Native_language","deutsch"
3,"8b51f023fe784ad902b355f92b78208e","L1","spanisch"
3,"8b51f023fe784ad902b355f92b78208e","L1_age","25"
3,"8b51f023fe784ad902b355f92b78208e","L2","englisch"
3,"8b51f023fe784ad902b355f92b78208e","L2_age","8"
3,"8b51f023fe784ad902b355f92b78208e","L3",""
3,"8b51f023fe784ad902b355f92b78208e","L3_age",""
3,"8b51f023fe784ad902b355f92b78208e","Age","28"
3,"8b51f023fe784ad902b355f92b78208e","L1_level","fluent"
3,"8b51f023fe784ad902b355f92b78208e","L2_level","fluent"
3,"8b51f023fe784ad902b355f92b78208e","gender","male"
3,"8b51f023fe784ad902b355f92b78208e","handedness","righthanded"
3,"8b51f023fe784ad902b355f92b78208e","Strategy","Nicht wirklich, aber tatsächlich muss ich zugeben, dass es manchmal so war, dass ich am Ende des zweiten Satzes schon die Signalwörter des ersten vergessen hatte. Ist aber auch eine Frage des Fokus. Als Strategie vielleicht, Einprägen von Signalwörtern, wie immer/niemals etc."
3,"8b51f023fe784ad902b355f92b78208e","Guesses","Reaktionszeit im Verhältnis zur Richtigkeit der Antwort"
3,"8b51f023fe784ad902b355f92b78208e","Experiment_length","medium"
3,"8b51f023fe784ad902b355f92b78208e","Task_difficulty","very easy"
3,"8b51f023fe784ad902b355f92b78208e","Problems",""
3,"8b51f023fe784ad902b355f92b78208e","Remarks",""
3,"8b51f023fe784ad902b355f92b78208e","KeepData","yes"
4,"49605e299e4eee0affecedfb9950bad9","Native_language","Deutsch"
4,"49605e299e4eee0affecedfb9950bad9","L1","Englisch"
4,"49605e299e4eee0affecedfb9950bad9","L1_age","10"
4,"49605e299e4eee0affecedfb9950bad9","L2","Französisch"
4,"49605e299e4eee0affecedfb9950bad9","L2_age","12"
4,"49605e299e4eee0affecedfb9950bad9","L3","Latein"
4,"49605e299e4eee0affecedfb9950bad9","L3_age","16"
4,"49605e299e4eee0affecedfb9950bad9","Age","21"
4,"49605e299e4eee0affecedfb9950bad9","L1_level","fluent"
4,"49605e299e4eee0affecedfb9950bad9","L2_level","intermediate"
4,"49605e299e4eee0affecedfb9950bad9","L3_level","advanced"
4,"49605e299e4eee0affecedfb9950bad9","gender","female"
4,"49605e299e4eee0affecedfb9950bad9","handedness","righthanded"
4,"49605e299e4eee0affecedfb9950bad9","Strategy",""
4,"49605e299e4eee0affecedfb9950bad9","Guesses",""
4,"49605e299e4eee0affecedfb9950bad9","Experiment_length","medium"
4,"49605e299e4eee0affecedfb9950bad9","Task_difficulty","very easy"
4,"49605e299e4eee0affecedfb9950bad9","Problems",""
4,"49605e299e4eee0affecedfb9950bad9","Remarks",""
4,"49605e299e4eee0affecedfb9950bad9","KeepData","yes"
5,"9df93ee98a4ed211fe23be4df3929ce1","Native_language","Deutsch"
5,"9df93ee98a4ed211fe23be4df3929ce1","L1","Englisch"
5,"9df93ee98a4ed211fe23be4df3929ce1","L1_age","16"
5,"9df93ee98a4ed211fe23be4df3929ce1","L2",""
5,"9df93ee98a4ed211fe23be4df3929ce1","L2_age",""
5,"9df93ee98a4ed211fe23be4df3929ce1","L3",""
5,"9df93ee98a4ed211fe23be4df3929ce1","L3_age",""
5,"9df93ee98a4ed211fe23be4df3929ce1","Age","32"
5,"9df93ee98a4ed211fe23be4df3929ce1","L1_level","advanced"
5,"9df93ee98a4ed211fe23be4df3929ce1","gender","male"
5,"9df93ee98a4ed211fe23be4df3929ce1","handedness","righthanded"
5,"9df93ee98a4ed211fe23be4df3929ce1","Strategy","schnell die leertaste drücken, damit ein flüssiger satz ensteht"
5,"9df93ee98a4ed211fe23be4df3929ce1","Guesses","aufmerksamkeit/ merken eines satzes"
5,"9df93ee98a4ed211fe23be4df3929ce1","Experiment_length","medium"
5,"9df93ee98a4ed211fe23be4df3929ce1","Task_difficulty","medium"
5,"9df93ee98a4ed211fe23be4df3929ce1","Problems","nope"
5,"9df93ee98a4ed211fe23be4df3929ce1","Remarks",""
5,"9df93ee98a4ed211fe23be4df3929ce1","KeepData","yes"
6,"996c213c01a7a02f8df722f4f39fb6a2","Native_language","Deutsch"
6,"996c213c01a7a02f8df722f4f39fb6a2","L1","Englisch"
6,"996c213c01a7a02f8df722f4f39fb6a2","L1_age","9"
6,"996c213c01a7a02f8df722f4f39fb6a2","L2","Französisch"
6,"996c213c01a7a02f8df722f4f39fb6a2","L2_age","11"
6,"996c213c01a7a02f8df722f4f39fb6a2","L3","Spanisch"
6,"996c213c01a7a02f8df722f4f39fb6a2","L3_age","16"
6,"996c213c01a7a02f8df722f4f39fb6a2","Age","21"
6,"996c213c01a7a02f8df722f4f39fb6a2","L1_level","fluent"
6,"996c213c01a7a02f8df722f4f39fb6a2","L2_level","intermediate"
6,"996c213c01a7a02f8df722f4f39fb6a2","L3_level","elementary"
6,"996c213c01a7a02f8df722f4f39fb6a2","gender","female"
6,"996c213c01a7a02f8df722f4f39fb6a2","handedness","righthanded"
6,"996c213c01a7a02f8df722f4f39fb6a2","Strategy","Keine Strategie"
6,"996c213c01a7a02f8df722f4f39fb6a2","Guesses","Nein"
6,"996c213c01a7a02f8df722f4f39fb6a2","Experiment_length","very short"
6,"996c213c01a7a02f8df722f4f39fb6a2","Task_difficulty","very easy"
6,"996c213c01a7a02f8df722f4f39fb6a2","Problems",""
6,"996c213c01a7a02f8df722f4f39fb6a2","Remarks",""
6,"996c213c01a7a02f8df722f4f39fb6a2","KeepData","yes"
7,"5915e7b90e44ea32fc0b17ca37b98961","Native_language","Deutsch"
7,"5915e7b90e44ea32fc0b17ca37b98961","L1","Englisch"
7,"5915e7b90e44ea32fc0b17ca37b98961","L1_age","10"
7,"5915e7b90e44ea32fc0b17ca37b98961","L2","Französisch"
7,"5915e7b90e44ea32fc0b17ca37b98961","L2_age",""
7,"5915e7b90e44ea32fc0b17ca37b98961","L3",""
7,"5915e7b90e44ea32fc0b17ca37b98961","L3_age",""
7,"5915e7b90e44ea32fc0b17ca37b98961","Age","28"
7,"5915e7b90e44ea32fc0b17ca37b98961","L1_level","advanced"
7,"5915e7b90e44ea32fc0b17ca37b98961","L2_level","elementary"
7,"5915e7b90e44ea32fc0b17ca37b98961","gender","female"
7,"5915e7b90e44ea32fc0b17ca37b98961","handedness","righthanded"
7,"5915e7b90e44ea32fc0b17ca37b98961","Strategy","Keine besondere Strategie. Einfach die Sätze aufmerksam lesen und dann schauen ob alles Sinn zusammen ergibt."
7,"5915e7b90e44ea32fc0b17ca37b98961","Guesses",""
7,"5915e7b90e44ea32fc0b17ca37b98961","Experiment_length","medium"
7,"5915e7b90e44ea32fc0b17ca37b98961","Task_difficulty","very easy"
7,"5915e7b90e44ea32fc0b17ca37b98961","Problems",""
7,"5915e7b90e44ea32fc0b17ca37b98961","Remarks",""
7,"5915e7b90e44ea32fc0b17ca37b98961","KeepData","yes"
8,"53d91dbe8513f500f63445ee47f8f131","Native_language","Deutsch"
8,"53d91dbe8513f500f63445ee47f8f131","L1","Englisch"
8,"53d91dbe8513f500f63445ee47f8f131","L1_age","9"
8,"53d91dbe8513f500f63445ee47f8f131","L2","Russisch"
8,"53d91dbe8513f500f63445ee47f8f131","L2_age","14"
8,"53d91dbe8513f500f63445ee47f8f131","L3",""
8,"53d91dbe8513f500f63445ee47f8f131","L3_age",""
8,"53d91dbe8513f500f63445ee47f8f131","Age","30"
8,"53d91dbe8513f500f63445ee47f8f131","L1_level","fluent"
8,"53d91dbe8513f500f63445ee47f8f131","L2_level","elementary"
8,"53d91dbe8513f500f63445ee47f8f131","gender","male"
8,"53d91dbe8513f500f63445ee47f8f131","handedness","ambidexter"
8,"53d91dbe8513f500f63445ee47f8f131","Strategy","Besonders gut auf mögliche Verneinungen achten."
8,"53d91dbe8513f500f63445ee47f8f131","Guesses","Nein"
8,"53d91dbe8513f500f63445ee47f8f131","Experiment_length","medium"
8,"53d91dbe8513f500f63445ee47f8f131","Task_difficulty","medium"
8,"53d91dbe8513f500f63445ee47f8f131","Problems","Nein"
8,"53d91dbe8513f500f63445ee47f8f131","Remarks","Nein"
8,"53d91dbe8513f500f63445ee47f8f131","KeepData","yes"
9,"201e7ac1404565b2f8c99915832d6674","Native_language","Deutsch"
9,"201e7ac1404565b2f8c99915832d6674","L1","Englisch"
9,"201e7ac1404565b2f8c99915832d6674","L1_age","10"
9,"201e7ac1404565b2f8c99915832d6674","L2","Latein"
9,"201e7ac1404565b2f8c99915832d6674","L2_age","17"
9,"201e7ac1404565b2f8c99915832d6674","L3","Spanisch"
9,"201e7ac1404565b2f8c99915832d6674","L3_age","23"
9,"201e7ac1404565b2f8c99915832d6674","Age","31"
9,"201e7ac1404565b2f8c99915832d6674","L1_level","fluent"
9,"201e7ac1404565b2f8c99915832d6674","L2_level","elementary"
9,"201e7ac1404565b2f8c99915832d6674","L3_level","elementary"
9,"201e7ac1404565b2f8c99915832d6674","gender","male"
9,"201e7ac1404565b2f8c99915832d6674","handedness","righthanded"
9,"201e7ac1404565b2f8c99915832d6674","Strategy","Ich habe lediglich die Anweisungen befolgt und die Sätze gelesen und entsprechend meiner Interpretation nach beurteilt, ob Sie Sinn ergeben oder nicht."
9,"201e7ac1404565b2f8c99915832d6674","Guesses","Eventuell wie schnell man die direkt dargestellten Sätze gegenüber den durchschaltbaren Sätzen gelesen hat?"
9,"201e7ac1404565b2f8c99915832d6674","Experiment_length","medium"
9,"201e7ac1404565b2f8c99915832d6674","Task_difficulty","very easy"
9,"201e7ac1404565b2f8c99915832d6674","Problems","nein"
9,"201e7ac1404565b2f8c99915832d6674","Remarks","nein"
9,"201e7ac1404565b2f8c99915832d6674","KeepData","yes"
