"Item","Cond","Group","Critical","ContextSentence","TargetSentence","Target"
1,"A",1,6,"Gestern wurde ein Demonstrant im Zentrum erschossen.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"B",2,6,"Gestern wurde ein Demonstrant im Zentrum getötet.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"C",3,6,"Kein Demonstrant wurde jemals im Zentrum erschossen.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"D",4,6,"Kein Demonstrant wurde jemals im Zentrum getötet.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
2,"A",2,6,"Letzten Monat wurde ein Bettler in der Stadt erstochen.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"B",3,6,"Letzten Monat wurde ein Bettler in der Stadt beseitigt.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"C",4,6,"Kein Bettler wurde jemals in der Stadt erstochen.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"D",1,6,"Kein Bettler wurde jemals in der Stadt beseitigt.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
3,"A",3,6,"Letztes Jahr hat der Agent jemanden vergiftet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"B",4,6,"Letztes Jahr hat der Agent jemanden ermordet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"C",1,6,"Der Agent hat nie jemanden vergiftet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"D",2,6,"Der Agent hat nie jemanden ermordet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
4,"A",4,6,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt erhängt.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"B",1,6,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt umgebracht.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"C",2,6,"Keine Insassin der Strafvollzugsanstalt hat sich jemals erhängt.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"D",3,6,"Keine Insassin der Strafvollzugsanstalt hat sich jemals umgebracht.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
5,"A",1,6,"Heute Morgen wurde ein Rentner im Park tot aufgefunden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"B",2,6,"Heute Morgen ist ein Rentner im Park verletzt worden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"C",3,6,"Kein Rentner wurde jemals im Park tot aufgefunden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"D",4,6,"Kein Rentner ist jemals im Park verletzt worden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
6,"A",2,6,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge tödlich verunglückt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"B",3,6,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge plötzlich abgestürzt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"C",4,6,"Kein Bergsteiger ist jemals in dem Gebirge tödlich verunglückt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"D",1,6,"Kein Bergsteiger ist jemals in dem Gebirge plötzlich abgestürzt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
7,"A",3,5,"Gestern wurde der Sohn des Händlers verprügelt.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"B",4,5,"Gestern wurde der Sohn des Händlers bestraft.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"C",1,5,"Der Sohn des Händlers wurde nie verprügelt.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"D",2,5,"Der Sohn des Händlers wurde nie bestraft.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
8,"A",4,5,"Letzten Monat hat der Mann einen Laden überfallen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"B",1,5,"Letzten Monat ist der Mann in einen Laden eingedrungen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"C",2,5,"Der Mann hat niemals einen Laden überfallen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"D",3,5,"Der Mann ist niemals in einen Laden eingedrungen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
9,"A",1,6,"Letzte Woche ist das Handy des Sängers kaputtgegangen.","Er stellte fest, dass die Reparatur leider ziemlich teuer war.","Reparatur"
